STNAME,year_start,year_end,variable,control,population,query,wt_var,url
INDIANA,2002,2003,ABODANL,NONE,"53,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DINDIANA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
IOWA,2002,2003,ABODANL,NONE,"5,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DIOWA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
KANSAS,2002,2003,ABODANL,NONE,"2,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DKANSAS&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
KENTUCKY,2002,2003,ABODANL,NONE,"58,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DKENTUCKY&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
LOUISIANA,2002,2003,ABODANL,NONE,"34,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DLOUISIANA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MAINE,2002,2003,ABODANL,NONE,"12,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DMAINE&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MARYLAND,2002,2003,ABODANL,NONE,"30,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DMARYLAND&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MASSACHUSETTS,2002,2003,ABODANL,NONE,"74,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DMASSACHUSETTS&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MICHIGAN,2002,2003,ABODANL,NONE,"50,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DMICHIGAN&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MINNESOTA,2002,2003,ABODANL,NONE,"7,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DMINNESOTA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MISSISSIPPI,2002,2003,ABODANL,NONE,"19,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DMISSISSIPPI&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MISSOURI,2002,2003,ABODANL,NONE,"20,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DMISSOURI&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MONTANA,2002,2003,ABODANL,NONE,"2,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DMONTANA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
NEBRASKA,2002,2003,ABODANL,NONE,"5,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DNEBRASKA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
NEVADA,2002,2003,ABODANL,NONE,"5,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DNEVADA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
NEW HAMPSHIRE,2002,2003,ABODANL,NONE,"3,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DNEW+HAMPSHIRE&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
NEW JERSEY,2002,2003,ABODANL,NONE,"32,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DNEW+JERSEY&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
NEW MEXICO,2002,2003,ABODANL,NONE,"16,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DNEW+MEXICO&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
NEW YORK,2002,2003,ABODANL,NONE,"66,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DNEW+YORK&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
NORTH CAROLINA,2002,2003,ABODANL,NONE,"22,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DNORTH+CAROLINA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
NORTH DAKOTA,2002,2003,ABODANL,NONE,"2,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DNORTH+DAKOTA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
OHIO,2002,2003,ABODANL,NONE,"40,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DOHIO&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
OKLAHOMA,2002,2003,ABODANL,NONE,"15,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DOKLAHOMA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
OREGON,2002,2003,ABODANL,NONE,"39,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DOREGON&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
PENNSYLVANIA,2002,2003,ABODANL,NONE,"48,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DPENNSYLVANIA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
RHODE ISLAND,2002,2003,ABODANL,NONE,"7,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DRHODE+ISLAND&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
SOUTH CAROLINA,2002,2003,ABODANL,NONE,"19,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DSOUTH+CAROLINA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
SOUTH DAKOTA,2002,2003,ABODANL,NONE,"2,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DSOUTH+DAKOTA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
TENNESSEE,2002,2003,ABODANL,NONE,"30,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DTENNESSEE&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
TEXAS,2002,2003,ABODANL,NONE,"98,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DTEXAS&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
UTAH,2002,2003,ABODANL,NONE,"9,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DUTAH&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
VERMONT,2002,2003,ABODANL,NONE,"3,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DVERMONT&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
VIRGINIA,2002,2003,ABODANL,NONE,"56,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DVIRGINIA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
WASHINGTON,2002,2003,ABODANL,NONE,"45,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DWASHINGTON&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
WEST VIRGINIA,2002,2003,ABODANL,NONE,"15,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DWEST+VIRGINIA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
WISCONSIN,2002,2003,ABODANL,NONE,"11,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DWISCONSIN&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
WYOMING,2002,2003,ABODANL,NONE,"3,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DWYOMING&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ALABAMA,2002,2003,ABODANL,ABODHER,"28,000",2,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DALABAMA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ALASKA,2002,2003,ABODANL,ABODHER,"2,000",2,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DALASKA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ARIZONA,2002,2003,ABODANL,ABODHER,"21,000",2,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DARIZONA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ARKANSAS,2002,2003,ABODANL,ABODHER,"18,000",2,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DARKANSAS&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
CALIFORNIA,2002,2003,ABODANL,ABODHER,"195,000",2,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DCALIFORNIA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
COLORADO,2002,2003,ABODANL,ABODHER,"26,000",2,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DCOLORADO&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
CONNECTICUT,2002,2003,ABODANL,ABODHER,"14,000",2,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DCONNECTICUT&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
DELAWARE,2002,2003,ABODANL,ABODHER,"5,000",2,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DDELAWARE&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
DISTRICT OFCOLUMBIA,2002,2003,ABODANL,ABODHER,"2,000",2,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DDISTRICT+OF+COLUMBIA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
FLORIDA,2002,2003,ABODANL,ABODHER,"97,000",2,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DFLORIDA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
GEORGIA,2002,2003,ABODANL,ABODHER,"47,000",2,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DGEORGIA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
HAWAII,2002,2003,ABODANL,ABODHER,"2,000",2,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DHAWAII&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
IDAHO,2002,2003,ABODANL,ABODHER,"8,000",2,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DIDAHO&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ILLINOIS,2002,2003,ABODANL,ABODHER,"27,000",2,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DILLINOIS&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
INDIANA,2002,2003,ABODANL,ABODHER,"53,000",2,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DINDIANA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
IOWA,2002,2003,ABODANL,ABODHER,"5,000",2,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DIOWA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
KANSAS,2002,2003,ABODANL,ABODHER,"2,000",2,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DKANSAS&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
KENTUCKY,2002,2003,ABODANL,ABODHER,"54,000",2,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DKENTUCKY&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
LOUISIANA,2002,2003,ABODANL,ABODHER,"34,000",2,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DLOUISIANA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MAINE,2002,2003,ABODANL,ABODHER,"11,000",2,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DMAINE&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MARYLAND,2002,2003,ABODANL,ABODHER,"30,000",2,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DMARYLAND&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MASSACHUSETTS,2002,2003,ABODANL,ABODHER,"65,000",2,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DMASSACHUSETTS&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MICHIGAN,2002,2003,ABODANL,ABODHER,"41,000",2,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DMICHIGAN&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MINNESOTA,2002,2003,ABODANL,ABODHER,"7,000",2,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DMINNESOTA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MISSISSIPPI,2002,2003,ABODANL,ABODHER,"19,000",2,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DMISSISSIPPI&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MISSOURI,2002,2003,ABODANL,ABODHER,"20,000",2,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DMISSOURI&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MONTANA,2002,2003,ABODANL,ABODHER,"2,000",2,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DMONTANA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
NEBRASKA,2002,2003,ABODANL,ABODHER,"5,000",2,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DNEBRASKA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
NEVADA,2002,2003,ABODANL,ABODHER,"5,000",2,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DNEVADA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
NEW HAMPSHIRE,2002,2003,ABODANL,ABODHER,"3,000",2,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DNEW+HAMPSHIRE&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
NEW JERSEY,2002,2003,ABODANL,ABODHER,"32,000",2,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DNEW+JERSEY&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
NEW MEXICO,2002,2003,ABODANL,ABODHER,"16,000",2,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DNEW+MEXICO&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
NEW YORK,2002,2003,ABODANL,ABODHER,"63,000",2,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DNEW+YORK&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
NORTH CAROLINA,2002,2003,ABODANL,ABODHER,"21,000",2,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DNORTH+CAROLINA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
NORTH DAKOTA,2002,2003,ABODANL,ABODHER,"2,000",2,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DNORTH+DAKOTA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
OHIO,2002,2003,ABODANL,ABODHER,"39,000",2,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DOHIO&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
OKLAHOMA,2002,2003,ABODANL,ABODHER,"15,000",2,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DOKLAHOMA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
