STNAME,DEPNDANL,year_start,year_end,wt_var,url
NORTH CAROLINA,"27,000",2004,2005,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
NORTH DAKOTA,"1,000",2004,2005,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
OHIO,"56,000",2004,2005,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
OKLAHOMA,"22,000",2004,2005,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
OREGON,"14,000",2004,2005,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
PENNSYLVANIA,"48,000",2004,2005,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
RHODE ISLAND,"5,000",2004,2005,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
SOUTH CAROLINA,"19,000",2004,2005,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
SOUTH DAKOTA,"1,000",2004,2005,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
TENNESSEE,"18,000",2004,2005,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
TEXAS,"60,000",2004,2005,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
UTAH,"25,000",2004,2005,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
VERMONT,"3,000",2004,2005,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
VIRGINIA,"25,000",2004,2005,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
WASHINGTON,"17,000",2004,2005,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
WEST VIRGINIA,"10,000",2004,2005,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
WISCONSIN,"12,000",2004,2005,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
WYOMING,"3,000",2004,2005,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
